,商品,标签
37,怡宝纯净水,热销
4,东鹏特饮,热销
7,阿萨姆奶茶,热销
11,脉动,热销
40,30g无穷农场盐_鸡蛋,热销
42,营养快线,热销
55,统一冰红茶,正常
31,13g无穷烤鸡小腿蜂蜜味,正常
0,40g双汇玉米热狗肠,正常
3,250ml维他柠檬茶,正常
84,250ml维他原味豆奶,正常
46,20g咪咪虾条马来西亚风味,正常
36,红牛,正常
35,鸭翅,正常
23,统一绿茶,正常
18,32g卫龙亲嘴烧,正常
5,卫龙大面筋,正常
14,果粒橙,正常
9,伊利优酸乳,正常
8,145ml旺仔牛奶盒装,正常
104,250ml燕塘红枣牛奶,正常
82,250ml燕塘甜牛奶,正常
15,香豆干,正常
75,雪碧（500ml）,正常
76,小鱼仔,正常
27,250ml燕塘原味酸奶,正常
26,86g合味道海鲜风味,正常
74,王老吉（500ml）,正常
114,12g劲仔小鱼麻辣味,正常
73,银鹭八宝粥,正常
115,可口可乐（500ml）,正常
32,85g新麦潮北海道吐司,正常
43,85g统一老坛酸菜牛肉面,正常
34,268ml雀巢咖啡丝滑拿铁,正常
72,伊利纯牛奶,正常
87,85g新麦潮手撕面包（提子味）,正常
44,雪碧最新款,正常
93,70g乖媳妇野山泡椒凤爪,正常
105,32g卫龙亲嘴烧红烧牛肉味,正常
21,330ml伊利畅意乳酸菌原味,正常
54,250ml红牛,滞销
28,450ml美汁源果粒橙,滞销
16,78g卫龙亲嘴语辣条,滞销
136,250ml维他奶巧克力味,滞销
132,王老吉（罐）,滞销
131,雪碧330ml,滞销
50,430g泰奇八宝粥,滞销
29,500ml统一阿萨姆奶茶,滞销
89,维他奶,滞销
129,口味王槟榔（绿）,滞销
121,维他柠檬茶,滞销
13,可口可乐最新款,滞销
126,怡宝,滞销
67,58g丽芝士纳宝帝奶酪威化饼干,滞销
56,45g双汇泡面拍挡,滞销
107,可口可乐330ml,滞销
24,205g伊利安慕希原味,滞销
106,40g乐事薯片黄瓜味,滞销
79,600ml脉动青柠,滞销
92,52g旺旺仙贝,滞销
10,2g韩国海牌海苔,滞销
51,55g奥利奥原味芝士饼干,滞销
12,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销
142,芬达330ml,滞销
108,熊字饼,滞销
6,卫龙亲嘴烧红烧牛肉味,滞销
49,500ml加多宝,滞销
135,600ml可口可乐,滞销
130,茉莉蜜茶,滞销
91,110g顺宝九制话梅,滞销
2,咪咪虾条马来西亚风味,滞销
41,85g嘉士利果乐果香夹心饼干蓝莓味,滞销
155,600ml雪碧,滞销
123,100g*5瓶益力多,滞销
19,80g四洲粟一烧烧烤味,滞销
90,148g富甲一方紫薯仔,滞销
77,冰糖雪梨,滞销
157,91g徐福记凤梨酥,滞销
167,480ml小茗同学冷泡青柠红茶,滞销
