,商品,标签
0,600ml可口可乐,正常
1,营养快线,滞销
2,茉莉蜜茶,正常
3,可口可乐最新款,正常
4,鸭翅,滞销
5,500ml营养快线原味,正常
6,王老吉（罐）,滞销
7,30g无穷农场盐_鸡蛋,滞销
8,250ml燕塘甜牛奶,滞销
9,250ml燕塘原味酸奶,滞销
10,85g嘉士利果乐果香夹心饼干蓝莓味,正常
11,伊利优酸乳,滞销
12,40g双汇玉米热狗肠,滞销
13,85g新麦潮手撕面包（提子味）,正常
14,诗竹竹纤维面巾纸,正常
15,250ml维他柠檬茶,滞销
16,威化饼干,正常
17,阿萨姆奶茶,滞销
18,可口可乐330ml,滞销
19,150g洽洽原香瓜子,正常
20,40g乐事薯片黄瓜味,正常
21,32g卫龙亲嘴烧,正常
22,怡宝纯净水,热销
23,20g咪咪虾条马来西亚风味,滞销
24,450ml美汁源果粒橙,正常
25,85g统一老坛酸菜牛肉面,正常
26,85g新麦潮北海道吐司,正常
27,58g丽芝士纳宝帝奶酪威化饼干,正常
28,香脆肠,正常
29,430g泰奇八宝粥,正常
30,红牛,滞销
31,芬达330ml,滞销
32,统一冰红茶,滞销
33,维他原味豆奶,正常
34,统一绿茶,滞销
35,劲仔小鱼（卤香味）,正常
36,维他奶,正常
37,50g上好佳日式鱼果,正常
38,安慕希酸奶,正常
39,冰糖雪梨,正常
40,统一来一桶香辣老坛酸菜牛肉面,正常
41,250ml维他奶黑豆奶饮品,正常
42,40g乐事美国经典原味,正常
43,脉动,滞销
44,百事可乐500ml,正常
45,500ml加多宝,正常
46,王老吉（500ml）,滞销
47,东鹏特饮,滞销
48,巧克力奶油味蛋糕,正常
49,500ml统一阿萨姆奶茶,正常
50,250ml维他奶巧克力味,正常
51,果粒橙,滞销
52,伊利纯牛奶,滞销
53,熊字饼,正常
54,雪碧最新款,滞销
55,小鱼仔,滞销
56,40g呀土豆薯片滋香烤鸡味,正常
57,500ml农夫果园 (芒果+菠萝+番石榴),正常
58,75g新麦潮天然酵母面包（北海道牛奶风味）,正常
59,250ml维他原味豆奶,滞销
60,雪碧330ml,正常
61,480ml小茗同学冷泡青柠红茶,正常
62,250ml统一麦香奶茶,正常
63,40g呀土豆番茄酱味,正常
64,银鹭八宝粥,正常
65,70g乐事薯片（黄瓜味）,正常
66,香豆干,滞销
67,雪碧（500ml）,滞销
68,美汁源果粒橙,正常
69,2g韩国海牌海苔,正常
70,可乐可乐,正常
71,250ml燕塘红枣牛奶,正常
72,160g盼盼手撕面包,正常
73,86g合味道海鲜风味,正常
74,口味王槟榔（红）,正常
75,80g马赛克香蕉片,正常
76,凤爪,正常
77,225g味之不规则饼干芝士味,正常
78,咪咪,正常
79,雀巢咖啡,正常
80,维他柠檬茶,正常
81,330ml伊利畅意乳酸菌原味,正常
82,600ml雪碧,正常
83,50g上好佳田园薯片番茄味,正常
84,12g劲仔小鱼麻辣味,正常
85,30g元朗小蛋卷,正常
86,205g伊利安慕希原味,正常
87,芙蓉王,正常
88,145ml旺仔牛奶盒装,滞销
89,45g双汇泡面拍挡,正常
90,370g泰奇八宝粥,正常
91,55g奥利奥原味芝士饼干,正常
92,70g乐事薯片（原味）,正常
93,卫龙大面筋,滞销
94,78g卫龙亲嘴语辣条,正常
95,5片装益达绿箭口香糖,正常
96,13g无穷烤鸡小腿蜂蜜味,滞销
97,500ML宝矿力,正常
98,口味王槟榔（绿）,正常
99,好吃点,正常
100,印尼芝士威化饼干,正常
101,湘潭铺子(羽泉版),正常
102,手撕素肉排,正常
103,好吃点小饼干,正常
104,怡宝,正常
105,椰树牌椰汁,正常
106,阿萨姆煎茶奶绿,正常
107,美年达（罐）,正常
108,雪力矿泉水,正常
109,可口可乐（500ml）,正常
110,乐虎,正常
111,12g劲仔小鱼卤香味,正常
112,鸡爪,正常
113,86g合味道浓猪骨味,正常
114,可口可乐330ml（罐）,正常
115,康师傅矿泉水,正常
