,商品,标签
0,68g好丽友巧克力派2枚,滞销
1,85g统一老坛酸菜牛肉面,正常
2,红牛,正常
3,32g卫龙亲嘴烧,正常
4,32g卫龙亲嘴烧红烧牛肉味,滞销
5,营养快线,热销
6,维他奶,滞销
7,500ml加多宝,滞销
8,12g劲仔小鱼麻辣味,滞销
9,250ml维他柠檬茶,正常
10,85g新麦潮北海道吐司,滞销
11,30g无穷农场盐_鸡蛋,正常
12,250ml维他原味豆奶,正常
13,银鹭八宝粥,正常
14,雀巢咖啡,滞销
15,果粒橙,正常
16,小鱼仔,正常
17,45g双汇泡面拍挡,滞销
18,20g咪咪虾条马来西亚风味,正常
19,250ml维他奶低糖原味,滞销
20,鸭翅,正常
21,泰奇八宝粥,滞销
22,70g乐事薯片黄瓜味,滞销
23,13g无穷烤鸡小腿蜂蜜味,正常
24,王老吉（罐）,正常
25,雪碧最新款,正常
26,55g奥利奥原味芝士饼干,滞销
27,10g卫龙亲嘴烧香辣味,滞销
28,熊字饼,正常
29,伊利纯牛奶,正常
30,2g韩国海牌海苔,滞销
31,40g乐事薯片黄瓜味,滞销
32,70g乐事薯片（黄瓜味）,滞销
33,怡宝纯净水,热销
34,香豆干,正常
35,250ml维他奶巧克力味,滞销
36,卫龙大面筋,正常
37,统一冰红茶,热销
38,香脆肠,滞销
39,78g卫龙亲嘴语辣条,滞销
40,330ml伊利畅意乳酸菌原味,滞销
41,双汇玉米热狗肠,滞销
42,可口可乐（500ml）,正常
43,统一绿茶,正常
44,100g果王咸柑桔罐装,滞销
45,110g顺宝九制话梅,滞销
46,雪碧（500ml）,正常
47,600ml雪碧,滞销
48,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销
49,430g泰奇八宝粥,滞销
50,85g嘉士利果乐果香夹心饼干蓝莓味,滞销
51,无穷农场盐_鸡蛋,滞销
52,70g乖媳妇野山泡椒凤爪,滞销
53,40g双汇玉米热狗肠,正常
54,86g合味道海鲜风味,滞销
55,103g康师傅红烧牛肉面,滞销
56,205ml安慕希蓝莓味,滞销
57,80g马赛克香蕉片,滞销
58,东鹏特饮,热销
59,伊利优酸乳,正常
60,脉动,热销
61,250ml燕塘甜牛奶,正常
62,250ml燕塘红枣牛奶,滞销
63,20g马来西亚风味咪咪蟹味粒0219,滞销
64,150g洽洽原香瓜子,滞销
65,5片装益达绿箭口香糖,滞销
66,劲仔小鱼（麻辣味）,滞销
67,268ml雀巢咖啡丝滑拿铁,滞销
68,阿萨姆奶茶,热销
69,370g泰奇八宝粥,滞销
70,600ml可口可乐,滞销
71,480ml小茗同学冷泡青柠红茶,滞销
72,600ml脉动青柠,滞销
73,凤爪,滞销
74,维他原味豆奶,滞销
75,百事可乐500ml,滞销
76,王老吉（500ml）,正常
77,58g丽芝士纳宝帝奶酪威化饼干,滞销
78,180ml雀巢咖啡罐装,滞销
79,口味王槟榔（绿）,滞销
80,维他柠檬茶,滞销
81,85g新麦潮手撕面包（提子味）,滞销
82,250ml燕塘原味酸奶,滞销
83,美年达（罐）,正常
84,450ml美汁源果粒橙,滞销
85,可口可乐最新款,正常
86,500ml统一冰糖雪梨,滞销
87,印尼芝士威化饼干,滞销
88,250ml王老吉盒装,滞销
89,91g徐福记凤梨酥,滞销
90,480ml小茗同学冷泡溜溜哒茶,滞销
91,65g卫龙亲嘴豆皮,滞销
92,145ml旺仔牛奶盒装,正常
93,尖叫,滞销
94,100g*5瓶益力多,滞销
95,50g上好佳日式鱼果,滞销
96,145g果王迷你山楂包装,滞销
97,150g健能酸奶原味,滞销
98,50g上好佳田园薯片番茄味,滞销
99,乖媳妇野山椒风爪,滞销
100,茉莉蜜茶,滞销
101,可乐可乐,滞销
102,口味王槟榔（红）,滞销
103,咪咪,滞销
104,冰糖雪梨,滞销
105,500ml统一阿萨姆奶茶,滞销
106,怡宝,滞销
107,湘潭铺子(羽泉版),滞销
108,汤达人桶面,滞销
109,250ml红牛,滞销
110,70g乐事薯片原味,滞销
111,健能酸奶,滞销
112,30g元朗小蛋卷,滞销
113,可乐（500ml）,滞销
114,威化饼干,滞销
115,83g汤达人酸辣豚骨拉面,滞销
116,美汁源果粒橙,滞销
117,148g富甲一方紫薯仔,滞销
118,康师傅矿泉水,滞销
119,丽芝士纳宝帝奶酪威化饼干,滞销
120,小糖衣血糖试纸,滞销
121,500ml营养快线原味,滞销
122,180g统一满汉全席台式半筋半肉牛肉面,滞销
123,红利群（硬）,滞销
124,250ml维他椰子植物蛋白饮料9374,滞销
125,芙蓉王,滞销
126,55g奥利奥迷你杯夹心小饼干杯装原味,滞销
127,好吃点小饼干,滞销
128,205g伊利安慕希原味,滞销
129,咪咪虾条马来西亚风味,滞销
130,160g盼盼手撕面包,滞销
131,250ML东鹏特饮,滞销
132,40g乐事美国经典原味,滞销
133,500ml农夫果园 (芒果+菠萝+番石榴),滞销
134,合味道（海鲜风味）,滞销
135,68g好丽友蛋黄派2枚,滞销
136,40g呀土豆薯片滋香烤鸡味,滞销
137,145ml旺仔牛奶罐装,滞销
138,12g劲仔小鱼卤香味,滞销
139,220g宝丰龙龟苓膏,滞销
140,80g香飘飘椰果奶茶麦香味,滞销
141,78g卫龙亲语,滞销
142,40g呀土豆番茄酱味,滞销
143,52g旺旺仙贝,滞销
144,可口可乐330ml,滞销
145,86g合味道浓猪骨味,滞销
146,150抽诗竹竹纤维面巾纸,滞销
147,80g四洲粟一烧烧烤味,滞销
148,统一来一桶香辣老坛酸菜牛肉面,滞销
149,劲仔小鱼（卤香味）,滞销
150,80g香飘飘椰果奶茶原味,滞销
151,无穷烤鸡小腿（蜂蜜）,滞销
152,好吃点,滞销
153,117gUFO炒面铁板色拉鱿鱼风味,滞销
154,奥利奥原味芝士,滞销
155,燕塘原味酸奶,滞销
156,汤达人方便面,滞销
157,雪碧330ml,滞销
158,250ml维他椰子植物蛋白饮料,滞销
159,260g马来西亚进口茱蒂丝口口香饼干,滞销
160,500ml恒大冰泉矿泉水,滞销
161,芦荟汁,滞销
162,48g好丽友薯愿香烤原味,滞销
163,上好佳洋葱圈,滞销
164,34g公仔迷你杯风味排骨味,滞销
165,椰树牌椰汁,滞销
166,225g味之不规则饼干芝士味,滞销
167,500ml康师傅冰糖雪梨,滞销
168,50g马赛克手撕鱿鱼条,滞销
169,250ml维他椰子味豆奶7716,滞销
170,55g奥利奥原味夹心饼干,滞销
171,百事可乐330ml,滞销
172,新麦潮北海道吐司,滞销
173,和成天下（黄）,滞销
174,40g上好佳日式鱼果,滞销
175,100g卫龙点心面黑椒牛排味,滞销
176,78g合味道杯面香菇炖鸡风味,滞销
177,107g出前一丁桶面酱香牛肉王,滞销
178,燕塘红枣牛奶,滞销
179,雪力矿泉水,滞销
180,乐事薯片（黄瓜味）,滞销
181,34g公仔迷你杯牛肉味,滞销
182,37.5g费列罗榛果威化巧克力3颗,滞销
183,益力多100g*5瓶,滞销
184,阿萨姆煎茶奶绿,滞销
185,冰红茶（罐）,滞销
186,70g乐事薯片（原味）,滞销
187,维他奶（巧克力味）,滞销
188,乐虎,滞销
189,250ml维他奶黑豆奶饮品,滞销
190,32g卫龙亲嘴烧川香味,滞销
191,可口可乐330ml（罐）,滞销
192,芬达330ml,滞销
193,每日特惠,滞销
194,小茗同学冷泡茶（乳酸菌味）,滞销
195,燕塘甜牛奶,滞销
196,四洲粟一烧烧烤味,滞销
197,上好佳田园薯片,滞销
198,日式鱼果,滞销
199,怡宝矿泉水,滞销
200,卫龙亲嘴烧红烧牛肉味,滞销
201,安慕希酸奶,滞销
202,乐虎（380ml）,滞销
203,50g双层百力滋奶咖味,滞销
204,250ml统一麦香奶茶,滞销
205,小糖衣血糖仪,滞销
206,加多宝,滞销
207,脉动（青柠）,滞销
208,新麦潮手撕面包（提子味）,滞销
209,脉动（椰子菠萝口味）,滞销
210,贡美苹果数据线,滞销
211,统一阿萨姆奶茶,滞销
212,味之不规则饼干（韩国泡菜味）,滞销
213,250ml香满楼纯牛奶,滞销
214,旺仔牛奶,滞销
215,10g越南LIPO奶味面包干0046,滞销
216,多芙利香草奶油味蛋糕,滞销
217,123gUFO炒面XO酱海鲜风味,滞销
218,诗竹竹纤维面巾纸,滞销
219,雪碧,滞销
220,新麦潮天然酵母面包（牛奶风味）,滞销
221,70g乐事薯片青柠味,滞销
222,农夫果园,滞销
223,旺仔牛奶145ml,滞销
224,盼盼手撕面包,滞销
225,40g卫龙点心面黑椒牛排味,滞销
226,50g双层百力滋特浓番茄味,滞销
227,40g乐事薯片墨西哥鸡汁番茄味,滞销
228,合味道（浓猪骨）,滞销
229,经典奶茶,滞销
230,商品2,滞销
231,商品1,滞销
232,韩国海牌海苔,滞销
233,手撕素肉排,滞销
234,500ML宝矿力,滞销
