,商品,标签
0,430g泰奇八宝粥,滞销
1,500ml农夫果园 (芒果+菠萝+番石榴),正常
2,150g洽洽原香瓜子,正常
3,250ml维他原味豆奶,滞销
4,30g无穷农场盐_鸡蛋,滞销
5,55g奥利奥原味芝士饼干,正常
6,营养快线,热销
7,统一冰红茶,热销
8,268ml雀巢咖啡丝滑拿铁,滞销
9,旺仔牛奶,正常
10,伊利优酸乳,滞销
11,500ml统一阿萨姆奶茶,滞销
12,145ml旺仔牛奶盒装,滞销
13,双汇玉米热狗肠,正常
14,250ml红牛,滞销
15,益力多100g*5瓶,正常
16,68g好丽友巧克力派2枚,正常
17,250ml维他柠檬茶,滞销
18,越南LIPO奶味面包干100g,正常
19,脉动（青柠）,正常
20,奥利奥原味芝士,正常
21,东鹏特饮,热销
22,12g劲仔小鱼麻辣味,滞销
23,银鹭八宝粥,滞销
24,优益C活菌型乳酸菌饮品,正常
25,香豆干,滞销
26,维他奶（巧克力味）,正常
27,维他原味豆奶,正常
28,100g*5瓶益力多,正常
29,250ml维他椰子植物蛋白饮料,正常
30,红牛,滞销
31,上好佳田园薯片,正常
32,600ml可口可乐,滞销
33,80g香飘飘椰果奶茶原味,正常
34,600ml脉动青柠,正常
35,86g合味道海鲜风味,滞销
36,鸭翅,滞销
37,34g公仔迷你杯牛肉味,正常
38,无穷烤鸡小腿（蜂蜜）,正常
39,250ml维他奶低糖原味,正常
40,480ml小茗同学冷泡青柠红茶,正常
41,阿萨姆奶茶,热销
42,可口可乐330ml,滞销
43,雪碧最新款,滞销
44,怡宝纯净水,热销
45,口味王槟榔（绿）,正常
46,250ml燕塘红枣牛奶,滞销
47,熊字饼,滞销
48,250ML东鹏特饮,正常
49,冰糖雪梨,滞销
50,20g咪咪虾条马来西亚风味,滞销
51,250ml燕塘原味酸奶,滞销
52,芙蓉王,正常
53,可口可乐最新款,滞销
54,250ml燕塘甜牛奶,滞销
55,150g健能酸奶原味,正常
56,220g宝丰龙龟苓膏,正常
57,维他奶,正常
58,香脆肠,正常
59,统一绿茶,滞销
60,148g富甲一方紫薯仔,正常
61,王老吉（罐）,滞销
62,180ml雀巢咖啡罐装,正常
63,250ml维他奶巧克力味,滞销
64,160g盼盼手撕面包,正常
65,205g伊利安慕希原味,正常
66,雪碧（500ml）,滞销
67,凤爪,正常
68,咪咪,正常
69,可乐可乐,正常
70,2g韩国海牌海苔,正常
71,225g味之不规则饼干芝士味,正常
72,70g乖媳妇野山泡椒凤爪,正常
73,85g新麦潮手撕面包（提子味）,滞销
74,脉动,热销
75,20g马来西亚风味咪咪蟹味粒0219,正常
76,205ml安慕希蓝莓味,正常
77,小鱼仔,正常
78,果粒橙,滞销
79,145ml旺仔牛奶罐装,正常
80,145g果王迷你山楂包装,正常
81,13g无穷烤鸡小腿蜂蜜味,滞销
82,珠江纯生啤酒,正常
83,伊利纯牛奶,滞销
84,卫龙大面筋,滞销
85,370g泰奇八宝粥,正常
86,怡宝,正常
87,32g卫龙亲嘴烧,滞销
88,80g四洲粟一烧烧烤味,正常
89,芬达330ml,滞销
90,10g卫龙亲嘴烧香辣味,正常
91,咪咪虾条马来西亚风味,正常
92,无穷农场盐_鸡蛋,正常
93,顺宝九制梅,正常
94,丽芝士纳宝帝奶酪威化饼干,正常
95,34g公仔迷你杯风味排骨味,正常
96,85g统一老坛酸菜牛肉面,滞销
97,维他柠檬茶,滞销
98,50g马赛克手撕鱿鱼条,正常
99,330ml伊利畅意乳酸菌原味,滞销
100,印尼芝士威化饼干,正常
101,250ml统一麦香奶茶,正常
102,450ml美汁源果粒橙,滞销
103,40g双汇玉米热狗肠,滞销
104,110g顺宝九制话梅,正常
105,500ml加多宝,正常
106,78g卫龙亲嘴语辣条,滞销
107,600ml雪碧,滞销
108,经典奶茶,正常
109,58g丽芝士纳宝帝奶酪威化饼干,正常
110,康师傅矿泉水,正常
111,可口可乐（500ml）,滞销
112,王老吉（500ml）,滞销
113,茉莉蜜茶,正常
114,百事可乐500ml,正常
115,5片装益达绿箭口香糖,正常
116,40g上好佳日式鱼果,正常
117,180g统一满汉全席台式半筋半肉牛肉面,正常
118,加多宝,正常
119,尖叫,正常
120,50g上好佳田园薯片番茄味,正常
121,40g乐事薯片黄瓜味,正常
122,50g上好佳日式鱼果,正常
123,劲仔小鱼（卤香味）,正常
124,52g旺旺仙贝,正常
125,65g卫龙亲嘴豆皮,正常
126,55g奥利奥原味夹心饼干,正常
127,美年达（罐）,正常
128,40g乐事美国经典原味,正常
129,韩国海牌海苔,正常
130,117gUFO炒面铁板色拉鱿鱼风味,正常
131,诗竹竹纤维面巾纸,正常
132,椰树牌椰汁,正常
133,500ml恒大冰泉矿泉水,正常
134,48g好丽友薯愿香烤原味,正常
135,雪碧,正常
136,32g卫龙亲嘴烧红烧牛肉味,正常
137,统一阿萨姆奶茶,正常
138,70g乐事薯片原味,正常
139,安慕希酸奶,正常
140,和成天下（黄）,正常
141,口味王槟榔（红）,正常
142,100g果王咸柑桔罐装,正常
143,70g乐事薯片（原味）,正常
144,12g劲仔小鱼卤香味,正常
145,70g乐事薯片（黄瓜味）,正常
146,500ML宝矿力,正常
147,86g合味道浓猪骨味,正常
148,130g果王玉带蚕豆,正常
149,湘潭铺子(羽泉版),正常
150,500ml康师傅冰糖雪梨,正常
151,雀巢咖啡,正常
152,75g新麦潮天然酵母面包（北海道牛奶风味）,正常
153,220g宝丰龙龟苓膏绿豆味,正常
154,91g徐福记凤梨酥,正常
155,40g呀土豆番茄酱味,正常
156,燕塘红枣牛奶,正常
157,燕塘原味酸奶,正常
158,小茗同学,正常
159,卫龙亲嘴烧红烧牛肉味,正常
160,85g嘉士利果乐果香夹心饼干蓝莓味,正常
161,新麦潮天然酵母面包（良品铺子）,正常
162,40g乐事薯片墨西哥鸡汁番茄味,正常
163,百事可乐330ml,正常
164,85g新麦潮北海道吐司,滞销
165,好吃点小饼干,正常
166,雪碧330ml,滞销
167,260g马来西亚进口茱蒂丝口口香饼干,正常
168,150抽诗竹竹纤维面巾纸,正常
169,68g好丽友蛋黄派2枚,正常
170,50g双层百力滋特浓番茄味,正常
171,乐事薯片（青柠）,正常
172,37.5g费列罗榛果威化巧克力3颗,正常
173,怡宝矿泉水,正常
174,乖媳妇野山椒风爪,正常
175,劲仔小鱼（酱汁味）,正常
176,和成天下（红）,正常
177,188g澳门永辉鸡仔饼,正常
178,40g呀土豆薯片滋香烤鸡味,正常
179,新麦潮天然酵母面包（牛奶风味）,正常
180,103g康师傅红烧牛肉面,正常
181,55g奥利奥迷你杯夹心小饼干杯装原味,正常
182,拿铁咖啡（统一）,正常
183,燕塘甜牛奶,正常
184,小糖衣血糖仪,正常
185,劲仔小鱼（麻辣味）,正常
186,阿萨姆煎茶奶绿,正常
187,480ml小茗同学冷泡溜溜哒茶,正常
188,30g元朗小蛋卷,正常
189,日式鱼果,正常
190,健能酸奶,正常
191,45g双汇泡面拍挡,正常
192,10g越南LIPO奶味面包干0015,正常
193,250ml维他椰子植物蛋白饮料9374,正常
194,旺仔牛奶145ml,正常
195,70g乐事薯片黄瓜味,正常
196,脉动（椰子菠萝口味）,正常
197,250ml王老吉盒装,正常
198,68g多力多玉米片爆香热辣味,正常
199,50g双层百力滋奶咖味,正常
200,乐事薯片（黄瓜味）,正常
201,美汁源果粒橙,正常
202,味之不规则饼干（芝士味）,正常
203,80g马赛克香蕉片,正常
204,冰红茶（罐）,正常
205,32g卫龙亲嘴烧川香味,正常
206,40g上好佳田园薯片番茄味,正常
207,泰奇八宝粥,正常
208,40g卫龙点心面黑椒牛排味,正常
209,合味道（海鲜风味）,正常
210,多芙利香草奶油味蛋糕,正常
211,107g出前一丁桶面酱香牛肉王,正常
212,芦荟汁,正常
213,80g盼盼手撕面包,正常
214,100g卫龙点心面黑椒牛排味,正常
215,农夫果园,正常
216,统一来一桶香辣老坛酸菜牛肉面,正常
217,鸡爪,正常
218,手撕素肉排,正常
219,新麦潮北海道吐司,正常
220,好吃点,正常
221,维他柠檬茶330ml（罐）,正常
222,可口可乐330ml（罐）,正常
223,80g香飘飘椰果奶茶麦香味,正常
224,盼盼手撕面包,正常
225,每日特惠,正常
226,合味道（浓猪骨）,正常
227,250ml维他奶黑豆奶饮品,正常
228,商品1,正常
229,乐虎,正常
230,500ml统一冰糖雪梨,正常
231,乐虎（380ml）,正常
232,迷你纸巾,正常
233,500ml营养快线原味,正常
234,250ml维他椰子味豆奶7716,正常
235,巧克力奶油味蛋糕,正常
236,78g合味道杯面香菇炖鸡风味,正常
237,维他奶黑豆奶饮品,正常
238,20g咩咩世界虾味条,正常
239,秒充,正常
240,新麦潮手撕面包（提子味）,正常
241,味之不规则饼干（番茄味）,正常
242,70g乐事薯片青柠味,正常
243,330ml伊利畅意乳酸菌草莓味,正常
244,威化饼干,正常
245,商品2,正常
246,雪力矿泉水,正常
247,20g士力架,正常
248,卫龙亲嘴烧麦辣鸡汁味,正常
249,340ml蒙牛优益C乳酸菌,正常
250,83g汤达人酸辣豚骨拉面,正常
251,四洲粟一烧烧烤味,正常
252,220g宝丰龙龟苓膏菊花味,正常
253,78g卫龙亲语,正常
254,12g劲仔小鱼（香辣味）,正常
255,14g德芙巧克力,正常
256,75g达利园柠檬蛋糕,正常
257,123gUFO炒面XO酱海鲜风味,正常
258,小茗同学冷泡茶（乳酸菌味）,正常
259,10g越南LIPO奶味面包干,正常
260,13g雀巢咖啡1+2特浓,正常
261,60g溜溜九制梅,正常
262,小茗同学（青柠红茶）,正常
263,40g盼盼手撕面包,正常
264,新麦潮天然酵母面包,正常
265,商品21,正常
266,10g越南LIPO奶味面包干0046,正常
