,商品,销售标签,总金额标签,商品总体画像
0,40g双汇玉米热狗肠,热销,普通,热销普通
1,100g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
2,咪咪虾条马来西亚风味,滞销,低金额,滞销低金额
3,250ml维他柠檬茶,热销,普通,热销普通
4,东鹏特饮,正常,高金额,正常高金额
5,卫龙大面筋,热销,普通,热销普通
6,卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
7,阿萨姆奶茶,正常,高金额,正常高金额
8,145ml旺仔牛奶盒装,热销,普通,热销普通
9,伊利优酸乳,热销,普通,热销普通
10,2g韩国海牌海苔,滞销,低金额,滞销低金额
11,脉动,正常,高金额,正常高金额
12,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销,低金额,滞销低金额
13,可口可乐最新款,滞销,低金额,滞销低金额
14,果粒橙,热销,普通,热销普通
15,香豆干,热销,低金额,热销低金额
16,78g卫龙亲嘴语辣条,滞销,普通,滞销普通
17,可乐可乐,滞销,低金额,滞销低金额
18,32g卫龙亲嘴烧,热销,普通,热销普通
19,80g四洲粟一烧烧烤味,滞销,普通,滞销普通
20,86g合味道浓猪骨味,滞销,低金额,滞销低金额
21,330ml伊利畅意乳酸菌原味,热销,普通,热销普通
22,14g德芙巧克力,滞销,低金额,滞销低金额
23,统一绿茶,热销,普通,热销普通
24,205g伊利安慕希原味,滞销,普通,滞销普通
25,维他奶黑豆奶饮品,滞销,低金额,滞销低金额
26,86g合味道海鲜风味,热销,普通,热销普通
27,250ml燕塘原味酸奶,热销,普通,热销普通
28,450ml美汁源果粒橙,滞销,普通,滞销普通
29,500ml统一阿萨姆奶茶,滞销,普通,滞销普通
30,250ml维他奶低糖原味,滞销,低金额,滞销低金额
31,13g无穷烤鸡小腿蜂蜜味,热销,高金额,热销高金额
32,85g新麦潮北海道吐司,热销,普通,热销普通
33,芙蓉王,滞销,普通,滞销普通
34,268ml雀巢咖啡丝滑拿铁,热销,普通,热销普通
35,鸭翅,热销,普通,热销普通
36,红牛,热销,高金额,热销高金额
37,怡宝纯净水,正常,高金额,正常高金额
38,无穷农场盐_鸡蛋,滞销,低金额,滞销低金额
39,40g呀土豆薯片滋香烤鸡味,滞销,低金额,滞销低金额
40,30g无穷农场盐_鸡蛋,正常,高金额,正常高金额
41,85g嘉士利果乐果香夹心饼干蓝莓味,滞销,低金额,滞销低金额
42,营养快线,正常,高金额,正常高金额
43,85g统一老坛酸菜牛肉面,热销,普通,热销普通
44,雪碧最新款,热销,低金额,热销低金额
45,诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
46,20g咪咪虾条马来西亚风味,热销,普通,热销普通
47,70g乐事薯片原味,滞销,低金额,滞销低金额
48,260g马来西亚进口茱蒂丝口口香饼干,滞销,低金额,滞销低金额
49,500ml加多宝,滞销,低金额,滞销低金额
50,430g泰奇八宝粥,滞销,普通,滞销普通
51,55g奥利奥原味芝士饼干,滞销,低金额,滞销低金额
52,50g上好佳日式鱼果,滞销,低金额,滞销低金额
53,50g双层百力滋奶咖味,滞销,低金额,滞销低金额
54,250ml红牛,滞销,普通,滞销普通
55,统一冰红茶,热销,普通,热销普通
56,45g双汇泡面拍挡,滞销,低金额,滞销低金额
57,燕塘红枣牛奶,滞销,低金额,滞销低金额
58,500ml农夫果园 (芒果+菠萝+番石榴),滞销,低金额,滞销低金额
59,10g越南LIPO奶味面包干,滞销,低金额,滞销低金额
60,30g元朗小蛋卷,滞销,低金额,滞销低金额
61,雀巢咖啡,滞销,低金额,滞销低金额
62,188g澳门永辉鸡仔饼,滞销,普通,滞销普通
63,370g泰奇八宝粥,滞销,低金额,滞销低金额
64,乐虎（380ml）,滞销,低金额,滞销低金额
65,凤爪,滞销,低金额,滞销低金额
66,新麦潮天然酵母面包,滞销,低金额,滞销低金额
67,58g丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
68,百事可乐500ml,滞销,低金额,滞销低金额
69,香脆肠,滞销,低金额,滞销低金额
70,12g劲仔小鱼卤香味,滞销,低金额,滞销低金额
71,250ML东鹏特饮,滞销,低金额,滞销低金额
72,伊利纯牛奶,热销,普通,热销普通
73,银鹭八宝粥,热销,普通,热销普通
74,王老吉（500ml）,热销,普通,热销普通
75,雪碧（500ml）,热销,普通,热销普通
76,小鱼仔,热销,低金额,热销低金额
77,冰糖雪梨,滞销,低金额,滞销低金额
78,50g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
79,600ml脉动青柠,滞销,普通,滞销普通
80,钙芝奶酪味高钙威化饼干,滞销,低金额,滞销低金额
81,口味王槟榔（红）,滞销,普通,滞销普通
82,250ml燕塘甜牛奶,热销,普通,热销普通
83,55g奥利奥迷你杯夹心小饼干杯装原味,滞销,低金额,滞销低金额
84,250ml维他原味豆奶,热销,普通,热销普通
85,40g呀土豆番茄酱味,滞销,低金额,滞销低金额
86,150g洽洽原香瓜子,滞销,低金额,滞销低金额
87,85g新麦潮手撕面包（提子味）,热销,普通,热销普通
88,无穷烤鸡小腿（蜂蜜）,滞销,低金额,滞销低金额
89,维他奶,滞销,低金额,滞销低金额
90,148g富甲一方紫薯仔,滞销,普通,滞销普通
91,110g顺宝九制话梅,滞销,低金额,滞销低金额
92,52g旺旺仙贝,滞销,低金额,滞销低金额
93,70g乖媳妇野山泡椒凤爪,热销,普通,热销普通
94,好吃点小饼干,滞销,低金额,滞销低金额
95,劲仔小鱼（麻辣味）,滞销,低金额,滞销低金额
96,小茗同学冷泡茶（乳酸菌味）,滞销,低金额,滞销低金额
97,劲仔小鱼,滞销,低金额,滞销低金额
98,安慕希酸奶,滞销,低金额,滞销低金额
99,107g出前一丁桶面酱香牛肉王,滞销,低金额,滞销低金额
100,100g果王咸柑桔罐装,滞销,低金额,滞销低金额
101,多芙利香草奶油味蛋糕,滞销,低金额,滞销低金额
102,150抽诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
103,40g上好佳日式鱼果,滞销,低金额,滞销低金额
