,商品,销售标签,总金额标签,商品总体画像
0,600ml可口可乐,滞销,低金额,滞销低金额
1,营养快线,正常,高金额,正常高金额
2,茉莉蜜茶,滞销,低金额,滞销低金额
3,可口可乐最新款,滞销,低金额,滞销低金额
4,鸭翅,正常,普通,正常普通
5,500ml营养快线原味,滞销,低金额,滞销低金额
6,王老吉（罐）,正常,普通,正常普通
7,30g无穷农场盐_鸡蛋,正常,普通,正常普通
8,250ml燕塘甜牛奶,正常,普通,正常普通
9,250ml燕塘原味酸奶,正常,普通,正常普通
10,85g嘉士利果乐果香夹心饼干蓝莓味,滞销,低金额,滞销低金额
11,伊利优酸乳,正常,普通,正常普通
12,40g双汇玉米热狗肠,正常,普通,正常普通
13,85g新麦潮手撕面包（提子味）,滞销,普通,滞销普通
14,诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
15,250ml维他柠檬茶,正常,普通,正常普通
16,威化饼干,滞销,低金额,滞销低金额
17,阿萨姆奶茶,正常,高金额,正常高金额
18,可口可乐330ml,正常,普通,正常普通
19,150g洽洽原香瓜子,滞销,低金额,滞销低金额
20,40g乐事薯片黄瓜味,滞销,低金额,滞销低金额
21,32g卫龙亲嘴烧,滞销,低金额,滞销低金额
22,怡宝纯净水,热销,高金额,热销高金额
23,20g咪咪虾条马来西亚风味,正常,低金额,正常低金额
24,450ml美汁源果粒橙,滞销,普通,滞销普通
25,85g统一老坛酸菜牛肉面,滞销,普通,滞销普通
26,85g新麦潮北海道吐司,滞销,普通,滞销普通
27,58g丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
28,香脆肠,滞销,低金额,滞销低金额
29,430g泰奇八宝粥,滞销,普通,滞销普通
30,红牛,正常,普通,正常普通
31,芬达330ml,正常,普通,正常普通
32,统一冰红茶,正常,普通,正常普通
33,维他原味豆奶,滞销,低金额,滞销低金额
34,统一绿茶,正常,普通,正常普通
35,劲仔小鱼（卤香味）,滞销,低金额,滞销低金额
36,维他奶,滞销,低金额,滞销低金额
37,50g上好佳日式鱼果,滞销,低金额,滞销低金额
38,安慕希酸奶,滞销,低金额,滞销低金额
39,冰糖雪梨,滞销,低金额,滞销低金额
40,统一来一桶香辣老坛酸菜牛肉面,滞销,低金额,滞销低金额
41,250ml维他奶黑豆奶饮品,滞销,低金额,滞销低金额
42,40g乐事美国经典原味,滞销,低金额,滞销低金额
43,脉动,正常,高金额,正常高金额
44,百事可乐500ml,滞销,低金额,滞销低金额
45,500ml加多宝,滞销,低金额,滞销低金额
46,王老吉（500ml）,正常,高金额,正常高金额
47,东鹏特饮,正常,高金额,正常高金额
48,巧克力奶油味蛋糕,滞销,低金额,滞销低金额
49,500ml统一阿萨姆奶茶,滞销,普通,滞销普通
50,250ml维他奶巧克力味,滞销,低金额,滞销低金额
