,商品,销售标签,总金额标签,商品总体画像
0,48g好丽友薯愿香烤原味,滞销,低金额,滞销低金额
1,330ml伊利畅意乳酸菌原味,滞销,普通,滞销普通
2,160g盼盼手撕面包,滞销,低金额,滞销低金额
3,鸭翅,正常,低金额,正常低金额
4,40g双汇玉米热狗肠,正常,低金额,正常低金额
5,怡宝,正常,普通,正常普通
6,阿萨姆奶茶,正常,高金额,正常高金额
7,250ml燕塘甜牛奶,滞销,普通,滞销普通
8,13g无穷烤鸡小腿蜂蜜味,正常,普通,正常普通
9,王老吉（罐）,正常,普通,正常普通
10,雪碧最新款,正常,普通,正常普通
11,5片装益达绿箭口香糖,滞销,低金额,滞销低金额
12,统一来一桶香辣老坛酸菜牛肉面,滞销,低金额,滞销低金额
13,无穷农场盐_鸡蛋,滞销,低金额,滞销低金额
14,250ml维他原味豆奶,正常,普通,正常普通
15,250ml燕塘红枣牛奶,滞销,普通,滞销普通
16,怡宝纯净水,热销,高金额,热销高金额
17,55g奥利奥原味芝士饼干,滞销,低金额,滞销低金额
18,加多宝,滞销,低金额,滞销低金额
19,250ml维他柠檬茶,正常,普通,正常普通
20,四洲粟一烧烧烤味,滞销,低金额,滞销低金额
21,丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
22,2g韩国海牌海苔,滞销,低金额,滞销低金额
23,30g无穷农场盐_鸡蛋,正常,普通,正常普通
24,58g丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
25,12g劲仔小鱼麻辣味,滞销,低金额,滞销低金额
26,250ml燕塘原味酸奶,滞销,普通,滞销普通
27,旺仔牛奶145ml,滞销,低金额,滞销低金额
28,可口可乐最新款,滞销,低金额,滞销低金额
29,145ml旺仔牛奶盒装,滞销,低金额,滞销低金额
30,188g澳门永辉鸡仔饼,滞销,普通,滞销普通
31,咪咪,滞销,低金额,滞销低金额
32,伊利优酸乳,正常,普通,正常普通
33,68g好丽友巧克力派2枚,滞销,低金额,滞销低金额
34,37.5g费列罗榛果威化巧克力3颗,滞销,低金额,滞销低金额
35,脉动,热销,高金额,热销高金额
36,红牛,正常,普通,正常普通
37,东鹏特饮,正常,高金额,正常高金额
38,统一绿茶,正常,普通,正常普通
39,味之不规则饼干（芝士味）,滞销,低金额,滞销低金额
40,86g合味道海鲜风味,滞销,普通,滞销普通
41,无穷烤鸡小腿（蜂蜜）,滞销,低金额,滞销低金额
42,32g卫龙亲嘴烧,滞销,低金额,滞销低金额
43,维他原味豆奶,滞销,低金额,滞销低金额
44,110g顺宝九制话梅,滞销,低金额,滞销低金额
45,可口可乐（500ml）,滞销,低金额,滞销低金额
46,印尼芝士威化饼干,滞销,低金额,滞销低金额
47,冰糖雪梨,滞销,低金额,滞销低金额
48,32g卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
49,果粒橙,正常,普通,正常普通
50,250ml红牛,滞销,普通,滞销普通
51,乐虎（380ml）,滞销,低金额,滞销低金额
52,咪咪虾条马来西亚风味,滞销,低金额,滞销低金额
53,180ml雀巢咖啡罐装,滞销,低金额,滞销低金额
54,65g卫龙亲嘴豆皮,滞销,低金额,滞销低金额
55,雪碧（500ml）,滞销,低金额,滞销低金额
56,600ml可口可乐,滞销,低金额,滞销低金额
57,香脆肠,滞销,低金额,滞销低金额
58,好吃点,滞销,低金额,滞销低金额
59,泰奇八宝粥,滞销,低金额,滞销低金额
60,50g上好佳日式鱼果,滞销,低金额,滞销低金额
61,康师傅矿泉水,滞销,低金额,滞销低金额
62,145g果王迷你山楂包装,滞销,低金额,滞销低金额
63,燕塘原味酸奶,滞销,低金额,滞销低金额
64,营养快线,正常,高金额,正常高金额
65,熊字饼,滞销,低金额,滞销低金额
66,芙蓉王,滞销,普通,滞销普通
67,30g元朗小蛋卷,滞销,低金额,滞销低金额
68,劲仔小鱼（麻辣味）,滞销,低金额,滞销低金额
69,银鹭八宝粥,正常,普通,正常普通
70,香豆干,滞销,低金额,滞销低金额
71,500ml统一阿萨姆奶茶,滞销,低金额,滞销低金额
72,85g新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
73,维他柠檬茶,滞销,低金额,滞销低金额
74,好吃点小饼干,滞销,低金额,滞销低金额
75,20g马来西亚风味咪咪蟹味粒0219,滞销,低金额,滞销低金额
76,86g合味道浓猪骨味,滞销,低金额,滞销低金额
77,20g咪咪虾条马来西亚风味,正常,低金额,正常低金额
78,45g双汇泡面拍挡,滞销,低金额,滞销低金额
79,500ml加多宝,滞销,低金额,滞销低金额
80,83g汤达人酸辣豚骨拉面,滞销,低金额,滞销低金额
81,70g乖媳妇野山泡椒凤爪,滞销,低金额,滞销低金额
82,韩国海牌海苔,滞销,低金额,滞销低金额
83,430g泰奇八宝粥,滞销,普通,滞销普通
84,统一冰红茶,正常,普通,正常普通
85,85g新麦潮北海道吐司,滞销,低金额,滞销低金额
86,盼盼手撕面包,滞销,低金额,滞销低金额
87,250ML东鹏特饮,滞销,低金额,滞销低金额
88,80g香飘飘椰果奶茶麦香味,滞销,低金额,滞销低金额
89,40g乐事薯片黄瓜味,滞销,低金额,滞销低金额
90,55g奥利奥原味夹心饼干,滞销,低金额,滞销低金额
91,芬达330ml,正常,普通,正常普通
92,王老吉（500ml）,正常,普通,正常普通
93,78g卫龙亲嘴语辣条,滞销,低金额,滞销低金额
94,双汇玉米热狗肠,滞销,低金额,滞销低金额
95,雪碧330ml,滞销,低金额,滞销低金额
96,可口可乐330ml,正常,普通,正常普通
97,250ml王老吉盒装,滞销,低金额,滞销低金额
98,225g味之不规则饼干芝士味,滞销,低金额,滞销低金额
99,150g洽洽原香瓜子,滞销,低金额,滞销低金额
100,600ml雪碧,滞销,低金额,滞销低金额
101,40g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
102,55g奥利奥迷你杯夹心小饼干杯装原味,滞销,低金额,滞销低金额
103,小鱼仔,滞销,低金额,滞销低金额
104,500ml统一冰糖雪梨,滞销,低金额,滞销低金额
105,40g上好佳日式鱼果,滞销,低金额,滞销低金额
106,40g乐事薯片墨西哥鸡汁番茄味,滞销,低金额,滞销低金额
107,52g旺旺仙贝,滞销,低金额,滞销低金额
108,卫龙大面筋,正常,普通,正常普通
109,劲仔小鱼（卤香味）,滞销,低金额,滞销低金额
110,250ml统一麦香奶茶,滞销,低金额,滞销低金额
111,和成天下（红）,滞销,低金额,滞销低金额
112,燕塘红枣牛奶,滞销,低金额,滞销低金额
113,雪碧,滞销,低金额,滞销低金额
