,商品,销售标签,总金额标签,商品总体画像
0,68g好丽友巧克力派2枚,滞销,低金额,滞销低金额
1,85g统一老坛酸菜牛肉面,正常,普通,正常普通
2,红牛,正常,高金额,正常高金额
3,32g卫龙亲嘴烧,正常,低金额,正常低金额
4,32g卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
5,营养快线,热销,高金额,热销高金额
6,维他奶,滞销,低金额,滞销低金额
7,500ml加多宝,滞销,低金额,滞销低金额
8,12g劲仔小鱼麻辣味,滞销,低金额,滞销低金额
9,250ml维他柠檬茶,正常,普通,正常普通
10,85g新麦潮北海道吐司,滞销,低金额,滞销低金额
11,30g无穷农场盐_鸡蛋,正常,普通,正常普通
12,250ml维他原味豆奶,正常,普通,正常普通
13,银鹭八宝粥,正常,普通,正常普通
14,雀巢咖啡,滞销,低金额,滞销低金额
15,果粒橙,正常,普通,正常普通
16,小鱼仔,正常,低金额,正常低金额
17,45g双汇泡面拍挡,滞销,低金额,滞销低金额
18,20g咪咪虾条马来西亚风味,正常,普通,正常普通
19,250ml维他奶低糖原味,滞销,低金额,滞销低金额
20,鸭翅,正常,普通,正常普通
21,泰奇八宝粥,滞销,低金额,滞销低金额
22,70g乐事薯片黄瓜味,滞销,低金额,滞销低金额
23,13g无穷烤鸡小腿蜂蜜味,正常,普通,正常普通
24,王老吉（罐）,正常,普通,正常普通
25,雪碧最新款,正常,普通,正常普通
26,55g奥利奥原味芝士饼干,滞销,普通,滞销普通
27,10g卫龙亲嘴烧香辣味,滞销,低金额,滞销低金额
28,熊字饼,正常,普通,正常普通
29,伊利纯牛奶,正常,低金额,正常低金额
30,2g韩国海牌海苔,滞销,低金额,滞销低金额
31,40g乐事薯片黄瓜味,滞销,低金额,滞销低金额
32,70g乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
33,怡宝纯净水,热销,普通,热销普通
34,香豆干,正常,低金额,正常低金额
35,250ml维他奶巧克力味,滞销,低金额,滞销低金额
36,卫龙大面筋,正常,普通,正常普通
37,统一冰红茶,热销,高金额,热销高金额
38,香脆肠,滞销,低金额,滞销低金额
39,78g卫龙亲嘴语辣条,滞销,低金额,滞销低金额
40,330ml伊利畅意乳酸菌原味,滞销,普通,滞销普通
41,双汇玉米热狗肠,滞销,低金额,滞销低金额
42,可口可乐（500ml）,正常,普通,正常普通
43,统一绿茶,正常,普通,正常普通
44,100g果王咸柑桔罐装,滞销,低金额,滞销低金额
45,110g顺宝九制话梅,滞销,低金额,滞销低金额
46,雪碧（500ml）,正常,普通,正常普通
47,600ml雪碧,滞销,低金额,滞销低金额
48,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销,低金额,滞销低金额
49,430g泰奇八宝粥,滞销,普通,滞销普通
50,85g嘉士利果乐果香夹心饼干蓝莓味,滞销,低金额,滞销低金额
51,无穷农场盐_鸡蛋,滞销,低金额,滞销低金额
52,70g乖媳妇野山泡椒凤爪,滞销,低金额,滞销低金额
53,40g双汇玉米热狗肠,正常,普通,正常普通
54,86g合味道海鲜风味,滞销,普通,滞销普通
55,103g康师傅红烧牛肉面,滞销,低金额,滞销低金额
56,205ml安慕希蓝莓味,滞销,低金额,滞销低金额
57,80g马赛克香蕉片,滞销,低金额,滞销低金额
58,东鹏特饮,热销,高金额,热销高金额
59,伊利优酸乳,正常,普通,正常普通
60,脉动,热销,高金额,热销高金额
61,250ml燕塘甜牛奶,正常,普通,正常普通
62,250ml燕塘红枣牛奶,滞销,普通,滞销普通
63,20g马来西亚风味咪咪蟹味粒0219,滞销,低金额,滞销低金额
64,150g洽洽原香瓜子,滞销,低金额,滞销低金额
65,5片装益达绿箭口香糖,滞销,低金额,滞销低金额
66,劲仔小鱼（麻辣味）,滞销,低金额,滞销低金额
67,268ml雀巢咖啡丝滑拿铁,滞销,普通,滞销普通
68,阿萨姆奶茶,热销,高金额,热销高金额
69,370g泰奇八宝粥,滞销,低金额,滞销低金额
70,600ml可口可乐,滞销,低金额,滞销低金额
71,480ml小茗同学冷泡青柠红茶,滞销,低金额,滞销低金额
72,600ml脉动青柠,滞销,低金额,滞销低金额
73,凤爪,滞销,低金额,滞销低金额
74,维他原味豆奶,滞销,低金额,滞销低金额
75,百事可乐500ml,滞销,低金额,滞销低金额
76,王老吉（500ml）,正常,普通,正常普通
77,58g丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
78,180ml雀巢咖啡罐装,滞销,低金额,滞销低金额
79,口味王槟榔（绿）,滞销,普通,滞销普通
80,维他柠檬茶,滞销,低金额,滞销低金额
81,85g新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
82,250ml燕塘原味酸奶,滞销,普通,滞销普通
83,美年达（罐）,正常,低金额,正常低金额
84,450ml美汁源果粒橙,滞销,低金额,滞销低金额
85,可口可乐最新款,正常,普通,正常普通
86,500ml统一冰糖雪梨,滞销,低金额,滞销低金额
87,印尼芝士威化饼干,滞销,低金额,滞销低金额
88,250ml王老吉盒装,滞销,低金额,滞销低金额
89,91g徐福记凤梨酥,滞销,低金额,滞销低金额
90,480ml小茗同学冷泡溜溜哒茶,滞销,低金额,滞销低金额
91,65g卫龙亲嘴豆皮,滞销,低金额,滞销低金额
92,145ml旺仔牛奶盒装,正常,普通,正常普通
93,尖叫,滞销,低金额,滞销低金额
94,100g*5瓶益力多,滞销,普通,滞销普通
95,50g上好佳日式鱼果,滞销,低金额,滞销低金额
96,145g果王迷你山楂包装,滞销,低金额,滞销低金额
97,150g健能酸奶原味,滞销,低金额,滞销低金额
98,50g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
99,乖媳妇野山椒风爪,滞销,低金额,滞销低金额
100,茉莉蜜茶,滞销,低金额,滞销低金额
101,可乐可乐,滞销,低金额,滞销低金额
102,口味王槟榔（红）,滞销,低金额,滞销低金额
103,咪咪,滞销,低金额,滞销低金额
104,冰糖雪梨,滞销,低金额,滞销低金额
105,500ml统一阿萨姆奶茶,滞销,低金额,滞销低金额
106,怡宝,滞销,低金额,滞销低金额
107,湘潭铺子(羽泉版),滞销,低金额,滞销低金额
108,汤达人桶面,滞销,低金额,滞销低金额
109,250ml红牛,滞销,普通,滞销普通
110,70g乐事薯片原味,滞销,低金额,滞销低金额
111,健能酸奶,滞销,低金额,滞销低金额
112,30g元朗小蛋卷,滞销,低金额,滞销低金额
113,可乐（500ml）,滞销,低金额,滞销低金额
114,威化饼干,滞销,低金额,滞销低金额
115,83g汤达人酸辣豚骨拉面,滞销,低金额,滞销低金额
116,美汁源果粒橙,滞销,低金额,滞销低金额
117,148g富甲一方紫薯仔,滞销,低金额,滞销低金额
118,康师傅矿泉水,滞销,低金额,滞销低金额
119,丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
120,小糖衣血糖试纸,滞销,低金额,滞销低金额
121,500ml营养快线原味,滞销,低金额,滞销低金额
122,180g统一满汉全席台式半筋半肉牛肉面,滞销,低金额,滞销低金额
123,红利群（硬）,滞销,低金额,滞销低金额
124,250ml维他椰子植物蛋白饮料9374,滞销,低金额,滞销低金额
125,芙蓉王,滞销,低金额,滞销低金额
126,55g奥利奥迷你杯夹心小饼干杯装原味,滞销,低金额,滞销低金额
127,好吃点小饼干,滞销,低金额,滞销低金额
128,205g伊利安慕希原味,滞销,低金额,滞销低金额
129,咪咪虾条马来西亚风味,滞销,低金额,滞销低金额
130,160g盼盼手撕面包,滞销,低金额,滞销低金额
131,250ML东鹏特饮,滞销,低金额,滞销低金额
132,40g乐事美国经典原味,滞销,低金额,滞销低金额
133,500ml农夫果园 (芒果+菠萝+番石榴),滞销,低金额,滞销低金额
134,合味道（海鲜风味）,滞销,低金额,滞销低金额
135,68g好丽友蛋黄派2枚,滞销,低金额,滞销低金额
136,40g呀土豆薯片滋香烤鸡味,滞销,低金额,滞销低金额
137,145ml旺仔牛奶罐装,滞销,低金额,滞销低金额
138,12g劲仔小鱼卤香味,滞销,低金额,滞销低金额
139,220g宝丰龙龟苓膏,滞销,低金额,滞销低金额
140,80g香飘飘椰果奶茶麦香味,滞销,低金额,滞销低金额
141,78g卫龙亲语,滞销,低金额,滞销低金额
142,40g呀土豆番茄酱味,滞销,低金额,滞销低金额
143,52g旺旺仙贝,滞销,低金额,滞销低金额
144,可口可乐330ml,滞销,低金额,滞销低金额
145,86g合味道浓猪骨味,滞销,低金额,滞销低金额
146,150抽诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
147,80g四洲粟一烧烧烤味,滞销,低金额,滞销低金额
148,统一来一桶香辣老坛酸菜牛肉面,滞销,低金额,滞销低金额
149,劲仔小鱼（卤香味）,滞销,低金额,滞销低金额
150,80g香飘飘椰果奶茶原味,滞销,低金额,滞销低金额
151,无穷烤鸡小腿（蜂蜜）,滞销,低金额,滞销低金额
152,好吃点,滞销,低金额,滞销低金额
153,117gUFO炒面铁板色拉鱿鱼风味,滞销,低金额,滞销低金额
154,奥利奥原味芝士,滞销,低金额,滞销低金额
155,燕塘原味酸奶,滞销,低金额,滞销低金额
156,汤达人方便面,滞销,低金额,滞销低金额
157,雪碧330ml,滞销,低金额,滞销低金额
158,250ml维他椰子植物蛋白饮料,滞销,低金额,滞销低金额
159,260g马来西亚进口茱蒂丝口口香饼干,滞销,低金额,滞销低金额
160,500ml恒大冰泉矿泉水,滞销,低金额,滞销低金额
161,芦荟汁,滞销,低金额,滞销低金额
162,48g好丽友薯愿香烤原味,滞销,低金额,滞销低金额
163,上好佳洋葱圈,滞销,低金额,滞销低金额
164,34g公仔迷你杯风味排骨味,滞销,低金额,滞销低金额
165,椰树牌椰汁,滞销,低金额,滞销低金额
166,225g味之不规则饼干芝士味,滞销,低金额,滞销低金额
167,500ml康师傅冰糖雪梨,滞销,低金额,滞销低金额
168,50g马赛克手撕鱿鱼条,滞销,低金额,滞销低金额
169,250ml维他椰子味豆奶7716,滞销,低金额,滞销低金额
170,55g奥利奥原味夹心饼干,滞销,低金额,滞销低金额
171,百事可乐330ml,滞销,低金额,滞销低金额
172,新麦潮北海道吐司,滞销,低金额,滞销低金额
173,和成天下（黄）,滞销,低金额,滞销低金额
174,40g上好佳日式鱼果,滞销,低金额,滞销低金额
175,100g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
176,78g合味道杯面香菇炖鸡风味,滞销,低金额,滞销低金额
177,107g出前一丁桶面酱香牛肉王,滞销,低金额,滞销低金额
178,燕塘红枣牛奶,滞销,低金额,滞销低金额
179,雪力矿泉水,滞销,低金额,滞销低金额
180,乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
181,34g公仔迷你杯牛肉味,滞销,低金额,滞销低金额
182,37.5g费列罗榛果威化巧克力3颗,滞销,低金额,滞销低金额
183,益力多100g*5瓶,滞销,低金额,滞销低金额
184,阿萨姆煎茶奶绿,滞销,低金额,滞销低金额
185,冰红茶（罐）,滞销,低金额,滞销低金额
186,70g乐事薯片（原味）,滞销,低金额,滞销低金额
187,维他奶（巧克力味）,滞销,低金额,滞销低金额
188,乐虎,滞销,低金额,滞销低金额
189,250ml维他奶黑豆奶饮品,滞销,低金额,滞销低金额
190,32g卫龙亲嘴烧川香味,滞销,低金额,滞销低金额
191,可口可乐330ml（罐）,滞销,低金额,滞销低金额
192,芬达330ml,滞销,低金额,滞销低金额
193,每日特惠,滞销,低金额,滞销低金额
194,小茗同学冷泡茶（乳酸菌味）,滞销,低金额,滞销低金额
195,燕塘甜牛奶,滞销,低金额,滞销低金额
196,四洲粟一烧烧烤味,滞销,低金额,滞销低金额
197,上好佳田园薯片,滞销,低金额,滞销低金额
198,日式鱼果,滞销,低金额,滞销低金额
199,怡宝矿泉水,滞销,低金额,滞销低金额
200,卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
201,安慕希酸奶,滞销,低金额,滞销低金额
202,乐虎（380ml）,滞销,低金额,滞销低金额
203,50g双层百力滋奶咖味,滞销,低金额,滞销低金额
204,250ml统一麦香奶茶,滞销,低金额,滞销低金额
205,小糖衣血糖仪,滞销,低金额,滞销低金额
206,加多宝,滞销,低金额,滞销低金额
207,脉动（青柠）,滞销,低金额,滞销低金额
208,新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
209,脉动（椰子菠萝口味）,滞销,低金额,滞销低金额
210,贡美苹果数据线,滞销,低金额,滞销低金额
211,统一阿萨姆奶茶,滞销,低金额,滞销低金额
212,味之不规则饼干（韩国泡菜味）,滞销,低金额,滞销低金额
213,250ml香满楼纯牛奶,滞销,低金额,滞销低金额
214,旺仔牛奶,滞销,低金额,滞销低金额
215,10g越南LIPO奶味面包干0046,滞销,低金额,滞销低金额
216,多芙利香草奶油味蛋糕,滞销,低金额,滞销低金额
217,123gUFO炒面XO酱海鲜风味,滞销,低金额,滞销低金额
218,诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
219,雪碧,滞销,低金额,滞销低金额
220,新麦潮天然酵母面包（牛奶风味）,滞销,低金额,滞销低金额
221,70g乐事薯片青柠味,滞销,低金额,滞销低金额
222,农夫果园,滞销,低金额,滞销低金额
223,旺仔牛奶145ml,滞销,低金额,滞销低金额
224,盼盼手撕面包,滞销,低金额,滞销低金额
225,40g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
226,50g双层百力滋特浓番茄味,滞销,低金额,滞销低金额
227,40g乐事薯片墨西哥鸡汁番茄味,滞销,低金额,滞销低金额
228,合味道（浓猪骨）,滞销,低金额,滞销低金额
229,经典奶茶,滞销,低金额,滞销低金额
230,商品2,滞销,低金额,滞销低金额
231,商品1,滞销,低金额,滞销低金额
232,韩国海牌海苔,滞销,低金额,滞销低金额
233,手撕素肉排,滞销,低金额,滞销低金额
234,500ML宝矿力,滞销,低金额,滞销低金额
