,商品,销售标签,总金额标签,商品总体画像
0,430g泰奇八宝粥,滞销,高金额,滞销高金额
1,500ml农夫果园 (芒果+菠萝+番石榴),正常,低金额,正常低金额
2,150g洽洽原香瓜子,正常,低金额,正常低金额
3,250ml维他原味豆奶,滞销,高金额,滞销高金额
4,30g无穷农场盐_鸡蛋,滞销,高金额,滞销高金额
5,55g奥利奥原味芝士饼干,正常,低金额,正常低金额
6,营养快线,热销,普通,热销普通
7,统一冰红茶,热销,高金额,热销高金额
8,268ml雀巢咖啡丝滑拿铁,滞销,高金额,滞销高金额
9,旺仔牛奶,正常,低金额,正常低金额
10,伊利优酸乳,滞销,高金额,滞销高金额
11,500ml统一阿萨姆奶茶,滞销,高金额,滞销高金额
12,145ml旺仔牛奶盒装,滞销,高金额,滞销高金额
13,双汇玉米热狗肠,正常,低金额,正常低金额
14,250ml红牛,滞销,高金额,滞销高金额
15,益力多100g*5瓶,正常,低金额,正常低金额
16,68g好丽友巧克力派2枚,正常,低金额,正常低金额
17,250ml维他柠檬茶,滞销,高金额,滞销高金额
18,越南LIPO奶味面包干100g,正常,低金额,正常低金额
19,脉动（青柠）,正常,低金额,正常低金额
20,奥利奥原味芝士,正常,低金额,正常低金额
21,东鹏特饮,热销,普通,热销普通
22,12g劲仔小鱼麻辣味,滞销,低金额,滞销低金额
23,银鹭八宝粥,滞销,高金额,滞销高金额
24,优益C活菌型乳酸菌饮品,正常,低金额,正常低金额
25,香豆干,滞销,低金额,滞销低金额
26,维他奶（巧克力味）,正常,低金额,正常低金额
27,维他原味豆奶,正常,低金额,正常低金额
28,100g*5瓶益力多,正常,高金额,正常高金额
29,250ml维他椰子植物蛋白饮料,正常,低金额,正常低金额
30,红牛,滞销,高金额,滞销高金额
31,上好佳田园薯片,正常,低金额,正常低金额
32,600ml可口可乐,滞销,低金额,滞销低金额
33,80g香飘飘椰果奶茶原味,正常,低金额,正常低金额
34,600ml脉动青柠,正常,低金额,正常低金额
35,86g合味道海鲜风味,滞销,高金额,滞销高金额
36,鸭翅,滞销,低金额,滞销低金额
37,34g公仔迷你杯牛肉味,正常,低金额,正常低金额
38,无穷烤鸡小腿（蜂蜜）,正常,低金额,正常低金额
39,250ml维他奶低糖原味,正常,低金额,正常低金额
40,480ml小茗同学冷泡青柠红茶,正常,低金额,正常低金额
41,阿萨姆奶茶,热销,普通,热销普通
42,可口可乐330ml,滞销,高金额,滞销高金额
43,雪碧最新款,滞销,高金额,滞销高金额
44,怡宝纯净水,热销,普通,热销普通
45,口味王槟榔（绿）,正常,高金额,正常高金额
46,250ml燕塘红枣牛奶,滞销,高金额,滞销高金额
47,熊字饼,滞销,低金额,滞销低金额
48,250ML东鹏特饮,正常,低金额,正常低金额
49,冰糖雪梨,滞销,低金额,滞销低金额
50,20g咪咪虾条马来西亚风味,滞销,低金额,滞销低金额
51,250ml燕塘原味酸奶,滞销,高金额,滞销高金额
52,芙蓉王,正常,低金额,正常低金额
53,可口可乐最新款,滞销,低金额,滞销低金额
54,250ml燕塘甜牛奶,滞销,高金额,滞销高金额
55,150g健能酸奶原味,正常,低金额,正常低金额
56,220g宝丰龙龟苓膏,正常,低金额,正常低金额
57,维他奶,正常,低金额,正常低金额
58,香脆肠,正常,低金额,正常低金额
59,统一绿茶,滞销,高金额,滞销高金额
60,148g富甲一方紫薯仔,正常,低金额,正常低金额
61,王老吉（罐）,滞销,高金额,滞销高金额
62,180ml雀巢咖啡罐装,正常,低金额,正常低金额
63,250ml维他奶巧克力味,滞销,低金额,滞销低金额
64,160g盼盼手撕面包,正常,低金额,正常低金额
65,205g伊利安慕希原味,正常,低金额,正常低金额
66,雪碧（500ml）,滞销,低金额,滞销低金额
